,Address Building,Address Street Name,Address City,Address State,Address ZIP,Address Borough,Latitude,Longitude
125,1268A,VIRGINIA AVE,BRONX,NY,10472,Bronx,40.83232469724555,-73.86130180478652
126,730,E FORDHAM RD,BRONX,NY,10458,Bronx,40.857461467433865,-73.88165602651438
127,3401,JEROME AVE,BRONX,NY,10467,Bronx,40.88057391686476,-73.88371954398436
128,2426,EASTCHESTER RD,BRONX,NY,10469,Bronx,40.86152452341007,-73.8432660518856
129,1790,EASTCHESTER RD,BRONX,NY,10461,Bronx,40.848654217483656,-73.84501688825453
130,662,E 141ST ST,BRONX,NY,10454,Bronx,40.807546757707605,-73.91327277213657
131,3124,E TREMONT AVE,BRONX,NY,10461,Bronx,40.83824087127882,-73.83518228628586
132,551,E 178TH ST,BRONX,NY,10457,Bronx,40.847527207150264,-73.89459898591058
133,3287A,WESTCHESTER AVE,BRONX,NY,10461,Bronx,40.85288619293808,-73.82736344248696
134,3001,EASTCHESTER RD,Bronx,NY,10469,Bronx,40.869543805615095,-73.84272649618322
135,291,E GUN HILL RD,BRONX,NY,10467,Bronx,40.879247047810125,-73.87472119690669
136,4150,WHITE PLAINS RD,BRONX,NY,10466,Bronx,40.8921470149907,-73.85805923347041
137,54,E 181ST ST,BRONX,NY,10453,Bronx,40.855270460580684,-73.90456376615376
138,3305,E TREMONT AVE,BRONX,NY,10461,Bronx,40.83501521222596,-73.83096215783044
139,200,E TREMONT AVE,BRONX,NY,10457,Bronx,40.84910929944079,-73.90541479343653
140,753,FOX ST,BRONX,NY,10455,Bronx,40.81567804830362,-73.89822241087543
141,2444,WILLIAMSBRIDGE RD,BRONX,NY,10469,Bronx,40.86166663856113,-73.8576181568527
142,548,E 138TH ST,BRONX,NY,10454,Bronx,40.8070342100583,-73.9180018793705
143,2280,WEBSTER AVE,BRONX,NY,10457,Bronx,40.85611909155117,-73.8956517714004
144,2817,3RD AVE,BRONX,NY,10455,Bronx,40.815639229919476,-73.91844286705587
145,685,E TREMONT AVE,BRONX,NY,10457,Bronx,40.845641533142334,-73.89157314789163
146,1741,RANDALL AVE,BRONX,NY,10473,Bronx,40.816651904990636,-73.8655614190252
147,3508,E TREMONT AVE,BRONX,NY,10465,Bronx,40.83112501489142,-73.8266357616325
148,860,E 180TH ST,BRONX,NY,10460,Bronx,40.845411164472154,-73.88332560309532
149,2280,BASSFORD AVE,BRONX,NY,10457,Bronx,40.85470288918181,-73.89272958525625
150,10,W GUN HILL RD,BRONX,NY,10467,Bronx,40.88291305744538,-73.88167219949348
151,1082,OLMSTEAD AVE,BRONX,NY,10472,Bronx,40.82903786764771,-73.85350721590417
152,1001,MACE AVE,BRONX,NY,10469,Bronx,40.86305672531255,-73.8586491562659
153,2690,UNIVERSITY AVE,BRONX,NY,10468,Bronx,40.868403556646484,-73.90095825509583
154,3103,3RD AVE,BRONX,NY,10451,Bronx,40.8216043364055,-73.91210188997758
155,974,INTERVALE AVE,BRONX,NY,10459,Bronx,40.82242061958513,-73.89686441601202
156,645,E TREMONT AVE,BRONX,NY,10457,Bronx,40.845944016368044,-73.89217625416312
157,283,E 161ST ST,BRONX,NY,10451,Bronx,40.825415549073554,-73.91792141618167
158,3766,WHITE PLAINS RD,BRONX,NY,10467,Bronx,40.883144954621784,-73.86303290918094
